ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Fleur de Lotus*|*B20250151252*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3183 WILSHIRE BLVD*|*#196 F25*|*LOS ANGELES*|*CA*|*United States*|*90010*|*35317 SUNLIGHT DR*|**|**|*YUCAIPA*|*CA*|*United States*|*92399*|**|**|**|**|**|**|**|*
Fourtune Founders, LLC*|*B20250105290*|*07/05/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*24596 LINCOLN AVENUE*|**|*MURRIETA*|*CA*|*United States*|*92562*|*24596 LINCOLN AVENUE*|**|**|*MURRIETA*|*CA*|*United States*|*92562*|**|**|**|**|**|**|*All LLC Member(s)*|*
Frank & Sons Waterproofing Inspections LLC*|*B20250149048*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2501 CAROLYN DR*|**|*PALMDALE*|*CA*|*United States*|*93551*|*2501 CAROLYN DR*|**|**|*PALMDALE*|*CA*|*United States*|*93551*|**|**|**|**|**|**|*More Than One Manager*|*
Fresh Food Farms*|*B20250061170*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Agricultural Cooperative*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*742-450 HERLONG ACCESS ROAD*|**|*HERLONG*|*CA*|*United States*|*96113*|*742-450 HERLONG ACCESS ROAD*|*P.O. BOX 939*|**|*HERLONG*|*CA*|*United States*|*96113*|**|**|**|**|**|**|**|*
Galindo Foundation*|*B20250148043*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251399964*|*Jul  1 2025  9:35PM*|*37925 SIERRA HWY.*|*Q*|*PALMDALE*|*CA*|*United States*|*93550*|*37925 SIERRA HWY.*|*Q*|**|*PALMDALE*|*CA*|*United States*|*93550*|**|**|**|**|**|**|**|*
Green Standard Landscape Management, LLC*|*B20250144570*|*07/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2474 LAWRENCE AVE*|**|*SAN BERNARDINO*|*CA*|*United States*|*92404*|*2474 LAWRENCE AVE*|**|**|*SAN BERNARDINO*|*CA*|*United States*|*92404*|**|**|**|**|**|**|*One Manager*|*
J & Max Construction Inc*|*B20250079830*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251401054*|*Jul  2 2025  8:46AM*|*1549 E QUINCY AVENUE*|*APT 1*|*ORANGE*|*CA*|*United States*|*92867*|*PO BOX 753*|**|**|*SUNSET BEACH*|*CA*|*United States*|*90742*|*1549 E QUINCY AVENUE*|*APT 1*|*ORANGE*|*CA*|*United States*|*92867*|**|*General Construction
Jaramillo Design Inc.*|*B20250131399*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10971 VIVARACHO WAY*|**|*SAN DIEGO*|*CA*|*United States*|*92124*|*10971 VIVARACHO WAY*|**|**|*SAN DIEGO*|*CA*|*United States*|*92124*|**|**|**|**|**|**|**|*
KIDS VILLAGE, LLC*|*B20250136267*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*701 N BRAND BLVD STE 820*|*820*|*GLENDALE, CALIFORNIA*|*CA*|*United States*|*91203*|*701 N BRAND BLVD STE 820*|*820*|*C/O:   MOSES, KDA GENERAL COUNSEL*|*GLENDALE, CALIFORNIA*|*CA*|*United States*|*91203*|**|**|**|**|**|**|*More Than One Manager*|*
Klean Home LLC*|*B20250095375*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7805 VICKI DR*|**|*WHITTIER*|*CA*|*United States*|*90606-2232*|*7805 VICKI DR*|**|**|*WHITTIER*|*CA*|*United States*|*90606-2232*|**|**|**|**|**|**|*One Manager*|*
KT BUSINESS SERVICES LLC*|*B20250114722*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3753 MISSION AVE*|*STE 200*|*OCEANSIDE*|*CA*|*United States*|*92058*|*3753 MISSION AVE.*|*STE. 200*|**|*OCEANSIDE*|*CA*|*United States*|*92058*|**|**|**|**|**|**|*One Manager*|*
La Alianza LLC*|*B20250149374*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1900 YELLOWSTONE CT*|**|*ANTIOCH*|*CA*|*United States*|*94509*|*1900 YELLOWSTONE CT*|**|**|*ANTIOCH*|*CA*|*United States*|*94509*|**|**|**|**|**|**|*One Manager*|*
Legal Eagle Notary Services, LLC*|*B20250147209*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7410 CYPRESS AVE*|**|*ROSAMOND*|*CA*|*United States*|*93560*|*7410 CYPRESS AVE*|**|**|*ROSAMOND*|*CA*|*United States*|*93560*|**|**|**|**|**|**|*One Manager*|*
Lighthouse Behavioral Health & Wellness - an Advanced Mental Health Nursing Corporation*|*B20250150636*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2675 TABLE ROCK AVENUE*|**|*CHULA VISTA*|*CA*|*United States*|*91914*|*2675 TABLE ROCK AVENUE*|**|**|*CHULA VISTA*|*CA*|*United States*|*91914*|**|**|**|**|**|**|**|*
Little Village Learning Center LLC*|*B20250105883*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2108 N STREET*|*#8285*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N STREET*|*#8285*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|**|**|**|**|**|**|*One Manager*|*
Majin Roadside/ Locksmith LLC*|*B20250102085*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*14019 OCANA AVE*|**|*BELLFLOWER*|*CA*|*United States*|*90706*|*14019 OCANA AVE*|**|**|*BELLFLOWER*|*CA*|*United States*|*90706*|**|**|**|**|**|**|*One Manager*|*
Masjid al-falah of Sacramento*|*B20250062577*|*07/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Religious*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8546 WEYAND AVE*|**|*SACRAMENTO*|*CA*|*United States*|*95828*|*8546 WEYAND AVE*|**|**|*SACRAMENTO*|*CA*|*United States*|*95828*|**|**|**|**|**|**|**|*
MD Water Delivery LLC*|*B20250145860*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10 WASHINGTON STREET*|**|*DALY CITY*|*CA*|*United States*|*94014*|*10 WASHINGTON STREET*|**|**|*DALY CITY*|*CA*|*United States*|*94014*|**|**|**|**|**|**|*One Manager*|*
ODUKU WHOLESALE INC*|*B20250121904*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*360 S DETROIT ST*|*APT107*|*LOS ANGELES*|*CA*|*United States*|*90036*|*360 S DETROIT ST*|*APT107*|**|*LOS ANGELES*|*CA*|*United States*|*90036*|**|**|**|**|**|**|**|*
OLD WORLD MORTGAGE ADVISORS*|*B20250115107*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4695 MACARTHUR COURT*|*STE 1100*|*NEWPORT BEACH*|*CA*|*United States*|*92660*|*4695 MACARTHUR COURT*|*STE 1100*|**|*NEWPORT BEACH*|*CA*|*United States*|*92660*|**|**|**|**|**|**|**|*
Palisades Concrete Homes LLC*|*B20250147592*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1227 SIERRA ALTA WAY*|**|*LOS ANGELES*|*CA*|*United States*|*90069*|*1227 SIERRA ALTA WAY*|**|**|*LOS ANGELES*|*CA*|*United States*|*90069*|**|**|**|**|**|**|*All LLC Member(s)*|*
Philanthropic Center of the Arts Theater*|*B20250151521*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*949 EVERETT ST*|*APT 3*|*LOS ANGELES*|*CA*|*United States*|*90026*|*949 EVERETT ST*|*APT 3*|**|*LOS ANGELES*|*CA*|*United States*|*90026*|**|**|**|**|**|**|**|*
Premier Medical Care*|*B20250134347*|*07/01/2025*|*MICHIGAN*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|*Premier Medical Care, P.C.*|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1535 GULL ROAD*|*STE 200*|*KALAMAZOO*|*MI*|*United States*|*49048*|*1535 GULL ROAD*|*SUITE 200*|**|*KALAMAZOO*|*MI*|*United States*|*49048*|*7 MOUNTAIN*|**|*COTO DE CAZA*|*CA*|*United States*|*92679*|**|*
Reform Construction*|*B20250098018*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8828 LATIGO COURT*|**|*ROSEVILLE*|*CA*|*United States*|*95747*|*8828 LATIGO COURT*|**|**|*ROSEVILLE*|*CA*|*United States*|*95747*|**|**|**|**|**|**|**|*
Rise, Renew, & Restore*|*B20250151476*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1524 PINE KNOLL DRIVE*|**|*BELMONT*|*CA*|*United States*|*94002*|*1524 PINE KNOLL DRIVE*|**|**|*BELMONT*|*CA*|*United States*|*94002*|**|**|**|**|**|**|**|*
Salt N Sol*|*B20250145005*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2222 FRANCISCO DR*|*STE 220 #190*|*EL DORADO HILLS*|*CA*|*United States*|*95762*|*2222 FRANCISCO DR*|*STE 220 #190*|**|*EL DORADO HILLS*|*CA*|*United States*|*95762*|**|**|**|**|**|**|**|*
SB BBQ & Catering LLC*|*B20250118781*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1051 NATIONAL AVE*|*156*|*SAN BRUNO*|*CA*|*United States*|*94066*|*971 W DEEP POWDER CT*|**|**|*KAMAS*|*UT*|*United States*|*84036*|**|**|**|**|**|**|*One Manager*|*
SoCal Roofing and Repair Co LLC*|*B20250108183*|*07/06/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3716 BELL AVE*|**|*BELL*|*CA*|*United States*|*90201*|*3716 BELL AVE*|**|**|*BELL*|*CA*|*United States*|*90201*|**|**|**|**|**|**|*All LLC Member(s)*|*
Solis Estate LLC*|*B20250070115*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*181 ABACUS*|**|*IRVINE*|*CA*|*United States*|*92618*|*181 ABACUS*|**|**|*IRVINE*|*CA*|*United States*|*92618*|**|**|**|**|**|**|*All LLC Member(s)*|*
Sonoma Clean Power*|*B20250072430*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16165 MAIN STREET*|*#1701*|*LOWER LAKE*|*CA*|*United States*|*95457*|*16165 MAIN STREET #1701*|**|**|*LOWER LAKE*|*CA*|*United States*|*95457*|**|**|**|**|**|**|**|*
SpiritTalisman LLC*|*B20250083903*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*200 E ROWLAND ST*|*1080*|*COVINA*|*CA*|*United States*|*91723*|*301 S GLENDORA AVE*|*2127*|**|*WEST COVINA*|*CA*|*United States*|*91790*|**|**|**|**|**|**|*One Manager*|*
StardustAI Inc.*|*B20250151638*|*07/02/2025*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20251414713*|*Jul  4 2025  2:26AM*|*455 GRANT AVE, UNIT 8*|**|*PALO ALTO*|*CA*|*United States*|*94306*|*623 TALBOT AVENUE*|**|**|*ALBANY*|*CA*|*United States*|*94706*|**|**|**|**|**|**|**|*Data cleaning, data labeling
Sultan Energy LLC*|*B20250084420*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*12685 COLFAX HWY*|**|*GRASS VALLEY*|*CA*|*United States*|*95945*|*210 SHARON WAY*|*1*|**|*ROSEVILLE*|*CA*|*United States*|*95678*|**|**|**|**|**|**|*All LLC Member(s)*|*
Summit Martial Arts, LLC.*|*B20250145105*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4353 HAWK ST*|*UNIT B*|*SAN DIEGO*|*CA*|*United States*|*92103*|*4353 HAWK ST*|*UNIT B*|**|*SAN DIEGO*|*CA*|*United States*|*92103*|**|**|**|**|**|**|*One Manager*|*
